ApprovedSymbol	ApprovedName
GAB2	GRB2 associated binding protein 2
GAB3	GRB2 associated binding protein 3
GAB4	GRB2 associated binding protein family member 4
GABARAP	GABA type A receptor-associated protein
GABARAPL1	GABA type A receptor associated protein like 1
GABARAPL1-AS1	GABARAPL1 antisense RNA 1
GABARAPL2	GABA type A receptor associated protein like 2
GABBR1	gamma-aminobutyric acid type B receptor subunit 1
GABBR2	gamma-aminobutyric acid type B receptor subunit 2
GABPA	GA binding protein transcription factor subunit alpha
GABPB1	GA binding protein transcription factor subunit beta 1
GABPB1-AS1	GABPB1 antisense RNA 1
GABPB1-IT1	GABPB1 intronic transcript
GABPB2	GA binding protein transcription factor subunit beta 2
GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1
GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2
GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3
GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4
GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5
GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6
GABRB1	gamma-aminobutyric acid type A receptor subunit beta1
GABRB2	gamma-aminobutyric acid type A receptor subunit beta2
GABRB3	gamma-aminobutyric acid type A receptor subunit beta3
GABRD	gamma-aminobutyric acid type A receptor subunit delta
GABRE	gamma-aminobutyric acid type A receptor subunit epsilon
GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1
GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2
GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3
GABRG3-AS1	GABRG3 antisense RNA 1
GABRP	gamma-aminobutyric acid type A receptor subunit pi
GABRQ	gamma-aminobutyric acid type A receptor subunit theta
GABRR1	gamma-aminobutyric acid type A receptor subunit rho1
GABRR2	gamma-aminobutyric acid type A receptor subunit rho2
GABRR3	gamma-aminobutyric acid type A receptor subunit rho3
GACAT1	gastric cancer associated transcript 1
GACAT2	gastric cancer associated transcript 2
GACAT3	gastric cancer associated transcript 3
GAD1	glutamate decarboxylase 1
GAD2	glutamate decarboxylase 2
GADD45A	growth arrest and DNA damage inducible alpha
GADD45B	growth arrest and DNA damage inducible beta
GADD45G	growth arrest and DNA damage inducible gamma
GADD45GIP1	GADD45G interacting protein 1
GADL1	glutamate decarboxylase like 1
GAGE1	G antigen 1
GAGE2A	G antigen 2A
GAGE2B	G antigen 2B
GAGE2C	G antigen 2C
GAGE2D	G antigen 2D
GAGE2E	G antigen 2E
GAGE4	G antigen 4
GAGE5	G antigen 5
GAGE6	G antigen 6
GAGE7	G antigen 7
GAGE8	G antigen 8
GAGE10	G antigen 10
GAGE12B	G antigen 12B
GAGE12C	G antigen 12C
GAGE12D	G antigen 12D
GAGE12E	G antigen 12E
GAGE12F	G antigen 12F
GAGE12G	G antigen 12G
GAGE12H	G antigen 12H
GAGE12I	G antigen 12I
GAGE12J	G antigen 12J
GAGE13	G antigen 13
GAK	cyclin G associated kinase
GAL	galanin and GMAP prepropeptide
GAL3ST1	galactose-3-O-sulfotransferase 1
GAL3ST2	galactose-3-O-sulfotransferase 2
GAL3ST3	galactose-3-O-sulfotransferase 3
GAL3ST4	galactose-3-O-sulfotransferase 4
GALC	galactosylceramidase
GALE	UDP-galactose-4-epimerase
GALK1	galactokinase 1
GALK2	galactokinase 2
GALM	galactose mutarotase
GALNS	galactosamine (N-acetyl)-6-sulfatase
GALNT1	polypeptide N-acetylgalactosaminyltransferase 1
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3
GALNT4	polypeptide N-acetylgalactosaminyltransferase 4
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5
GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
GALNT7-DT	GALNT7 divergent transcript
GALNT8	polypeptide N-acetylgalactosaminyltransferase 8
GALNT9	polypeptide N-acetylgalactosaminyltransferase 9
GALNT10	polypeptide N-acetylgalactosaminyltransferase 10
GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
GALNT12	polypeptide N-acetylgalactosaminyltransferase 12
GALNT13	polypeptide N-acetylgalactosaminyltransferase 13
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14
GALNT15	polypeptide N-acetylgalactosaminyltransferase 15
GALNT16	polypeptide N-acetylgalactosaminyltransferase 16
GALNT16-AS1	GALNT16 and EXD2 antisense RNA 1
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5
GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6
GALNTL6-AS1	GALNTL6 antisense RNA 1
GALP	galanin like peptide
GALR1	galanin receptor 1
GALR2	galanin receptor 2
GALR3	galanin receptor 3
GALT	galactose-1-phosphate uridylyltransferase
GAMT	guanidinoacetate N-methyltransferase
GAN	gigaxonin
GANAB	glucosidase II alpha subunit
GANC	glucosidase alpha, neutral C
GAP43	growth associated protein 43
GAPDH	glyceraldehyde-3-phosphate dehydrogenase
GAPDH-DT	GAPDH divergent transcript
GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
GAPLINC	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA
GAPT	GRB2 binding adaptor protein, transmembrane
GAPVD1	GTPase activating protein and VPS9 domains 1
GAR1	GAR1 ribonucleoprotein
GAR1-DT	GAR1 divergent transcript
GAREM1	GRB2 associated regulator of MAPK1 subtype 1
GAREM2	GRB2 associated regulator of MAPK1 subtype 2
GARNL3	GTPase activating Rap/RanGAP domain like 3
GARRE1	granule associated Rac and RHOG effector 1
GARS1	glycyl-tRNA synthetase 1
GARS1-DT	GARS1 divergent transcript
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GAS1	growth arrest specific 1
GAS1RR	GAS1 adjacent regulatory RNA
GAS2	growth arrest specific 2
GAS2L1	growth arrest specific 2 like 1
GAS2L2	growth arrest specific 2 like 2
GAS2L3	growth arrest specific 2 like 3
GAS5	growth arrest specific 5
GAS5-AS1	GAS5 antisense RNA 1
GAS6	growth arrest specific 6
GAS6-AS1	GAS6 antisense RNA 1
GAS6-DT	GAS6 divergent transcript
GAS7	growth arrest specific 7
GAS8	growth arrest specific 8
GAS8-AS1	GAS8 antisense RNA 1
GASAL1	growth arrest associated lncRNA 1
GASK1A	golgi associated kinase 1A
GASK1B	golgi associated kinase 1B
GASK1B-AS1	GASK1B antisense RNA 1
GAST	gastrin
GATA1	GATA binding protein 1
GATA2	GATA binding protein 2
GATA2-AS1	GATA2 antisense RNA 1
GATA3	GATA binding protein 3
GATA3-AS1	GATA3 antisense RNA 1
GATA4	GATA binding protein 4
GATA5	GATA binding protein 5
GATA6	GATA binding protein 6
GATA6-AS1	GATA6 antisense RNA 1 (head to head)
GATAD1	GATA zinc finger domain containing 1
GATAD2A	GATA zinc finger domain containing 2A
GATAD2B	GATA zinc finger domain containing 2B
GATB	glutamyl-tRNA amidotransferase subunit B
GATC	glutamyl-tRNA amidotransferase subunit C
GATD1	glutamine amidotransferase class 1 domain containing 1
GATD3	glutamine amidotransferase class 1 domain containing 3
GATD3B	glutamine amidotransferase class 1 domain containing 3B
GATM	glycine amidinotransferase
GATM-AS1	GATM antisense RNA 1
GAU1	GALNT8 antisense upstream 1
GBA	glucosylceramidase beta
GBA2	glucosylceramidase beta 2
GBA3	glucosylceramidase beta 3 (gene/pseudogene)
GBE1	1,4-alpha-glucan branching enzyme 1
GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1
GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)
GBP1	guanylate binding protein 1
GBP2	guanylate binding protein 2
GBP3	guanylate binding protein 3
GBP4	guanylate binding protein 4
GBP5	guanylate binding protein 5
GBP6	guanylate binding protein family member 6
GBP7	guanylate binding protein 7
GBX1	gastrulation brain homeobox 1
GBX2	gastrulation brain homeobox 2
GBX2-AS1	GBX2 and ASB18 antisense RNA 1
GC	GC vitamin D binding protein
GCA	grancalcin
GCASPC	gall bladder cancer associated suppressor of pyruvate carboxylase lncRNA
GCAT	glycine C-acetyltransferase
GCAWKR	gastric cancer associated WDR5 and KAT2A binding lncRNA
GCC1	GRIP and coiled-coil domain containing 1
GCC2	GRIP and coiled-coil domain containing 2
GCC2-AS1	GCC2 antisense RNA 1
GCDH	glutaryl-CoA dehydrogenase
GCFC2	GC-rich sequence DNA-binding factor 2
GCG	glucagon
GCGR	glucagon receptor
GCH1	GTP cyclohydrolase 1
GCHFR	GTP cyclohydrolase I feedback regulator
GCK	glucokinase
GCKR	glucokinase regulator
GCLC	glutamate-cysteine ligase catalytic subunit
GCLM	glutamate-cysteine ligase modifier subunit
GCM1	glial cells missing transcription factor 1
GCM2	glial cells missing transcription factor 2
GCN1	GCN1 activator of EIF2AK4
GCNA	germ cell nuclear acidic peptidase
GCNT1	glucosaminyl (N-acetyl) transferase 1
GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)
GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
GCNT4	glucosaminyl (N-acetyl) transferase 4
GCNT7	glucosaminyl (N-acetyl) transferase family member 7
GCSAM	germinal center associated signaling and motility
GCSAML	germinal center associated signaling and motility like
GCSAML-AS1	GCSAML antisense RNA 1
GCSH	glycine cleavage system protein H
GCSIR	GPR55 cis regulatory suppressor of immune response RNA
GDA	guanine deaminase
GDAP1	ganglioside induced differentiation associated protein 1
GDAP1L1	ganglioside induced differentiation associated protein 1 like 1
GDAP2	ganglioside induced differentiation associated protein 2
GDE1	glycerophosphodiester phosphodiesterase 1
GDF1	growth differentiation factor 1
GDF2	growth differentiation factor 2
GDF3	growth differentiation factor 3
GDF5	growth differentiation factor 5
GDF5-AS1	GDF5 antisense RNA 1
GDF6	growth differentiation factor 6
GDF7	growth differentiation factor 7
GDF9	growth differentiation factor 9
GDF10	growth differentiation factor 10
GDF11	growth differentiation factor 11
GDF15	growth differentiation factor 15
GDI1	GDP dissociation inhibitor 1
GDI2	GDP dissociation inhibitor 2
GDNF	glial cell derived neurotrophic factor
GDNF-AS1	GDNF antisense RNA 1
GDPD1	glycerophosphodiester phosphodiesterase domain containing 1
GDPD2	glycerophosphodiester phosphodiesterase domain containing 2
GDPD3	glycerophosphodiester phosphodiesterase domain containing 3
GDPD4	glycerophosphodiester phosphodiesterase domain containing 4
GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
GDPGP1	GDP-D-glucose phosphorylase 1
GEM	GTP binding protein overexpressed in skeletal muscle
GEMIN2	gem nuclear organelle associated protein 2
GEMIN4	gem nuclear organelle associated protein 4
GEMIN5	gem nuclear organelle associated protein 5
GEMIN6	gem nuclear organelle associated protein 6
GEMIN7	gem nuclear organelle associated protein 7
GEMIN7-AS1	GEMIN7 antisense RNA 1
GEMIN8	gem nuclear organelle associated protein 8
GEN1	GEN1 Holliday junction 5' flap endonuclease
GET1	guided entry of tail-anchored proteins factor 1
GET3	guided entry of tail-anchored proteins factor 3, ATPase
GET4	guided entry of tail-anchored proteins factor 4
GFAP	glial fibrillary acidic protein
GFER	growth factor, augmenter of liver regeneration
GFI1	growth factor independent 1 transcriptional repressor
GFI1B	growth factor independent 1B transcriptional repressor
GFM1	G elongation factor mitochondrial 1
GFM2	GTP dependent ribosome recycling factor mitochondrial 2
GFOD1	glucose-fructose oxidoreductase domain containing 1
GFOD1-AS1	GFOD1 antisense RNA 1
GFOD2	glucose-fructose oxidoreductase domain containing 2
GFPT1	glutamine--fructose-6-phosphate transaminase 1
GFPT2	glutamine-fructose-6-phosphate transaminase 2
GFRA1	GDNF family receptor alpha 1
GFRA2	GDNF family receptor alpha 2
GFRA3	GDNF family receptor alpha 3
GFRA4	GDNF family receptor alpha 4
GFRAL	GDNF family receptor alpha like
GFUS	GDP-L-fucose synthase
GFY	golgi associated olfactory signaling regulator
GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3
GGACT	gamma-glutamylamine cyclotransferase
GGCT	gamma-glutamylcyclotransferase
GGCX	gamma-glutamyl carboxylase
GGH	gamma-glutamyl hydrolase
GGN	gametogenetin
GGNBP2	gametogenetin binding protein 2
GGPS1	geranylgeranyl diphosphate synthase 1
GGT1	gamma-glutamyltransferase 1
GGT2	gamma-glutamyltransferase 2
GGT5	gamma-glutamyltransferase 5
GGT6	gamma-glutamyltransferase 6
GGT7	gamma-glutamyltransferase 7
GGTA1	glycoprotein alpha-galactosyltransferase 1 (inactive)
GGTLC1	gamma-glutamyltransferase light chain 1
GGTLC2	gamma-glutamyltransferase light chain 2
GGTLC3	gamma-glutamyltransferase light chain family member 3
GH1	growth hormone 1
GH2	growth hormone 2
GHDC	GH3 domain containing
GHET1	gastric carcinoma proliferation enhancing transcript 1
GHITM	growth hormone inducible transmembrane protein
GHR	growth hormone receptor
GHRH	growth hormone releasing hormone
GHRHR	growth hormone releasing hormone receptor
GHRL	ghrelin and obestatin prepropeptide
GHRLOS	ghrelin opposite strand/antisense RNA
GHSR	growth hormone secretagogue receptor
GID4	GID complex subunit 4 homolog
GID8	GID complex subunit 8 homolog
GIGYF1	GRB10 interacting GYF protein 1
GIGYF2	GRB10 interacting GYF protein 2
GIHCG	GIHCG inhibitor of miR-200b/200a/429 expression
GIMAP1	GTPase, IMAP family member 1
GIMAP2	GTPase, IMAP family member 2
GIMAP4	GTPase, IMAP family member 4
GIMAP5	GTPase, IMAP family member 5
GIMAP6	GTPase, IMAP family member 6
GIMAP7	GTPase, IMAP family member 7
GIMAP8	GTPase, IMAP family member 8
GIMD1	GIMAP family P-loop NTPase domain containing 1
GIN1	gypsy retrotransposon integrase 1
GINM1	glycoprotein integral membrane 1
GINS1	GINS complex subunit 1
GINS2	GINS complex subunit 2
GINS3	GINS complex subunit 3
GINS4	GINS complex subunit 4
GIP	gastric inhibitory polypeptide
GIPC1	GIPC PDZ domain containing family member 1
GIPC2	GIPC PDZ domain containing family member 2
GIPC3	GIPC PDZ domain containing family member 3
GIPR	gastric inhibitory polypeptide receptor
GIT1	GIT ArfGAP 1
GIT2	GIT ArfGAP 2
GJA1	gap junction protein alpha 1
GJA3	gap junction protein alpha 3
GJA4	gap junction protein alpha 4
GJA5	gap junction protein alpha 5
GJA8	gap junction protein alpha 8
GJA9	gap junction protein alpha 9
GJA10	gap junction protein alpha 10
GJB1	gap junction protein beta 1
GJB2	gap junction protein beta 2
GJB3	gap junction protein beta 3
GJB4	gap junction protein beta 4
GJB5	gap junction protein beta 5
GJB6	gap junction protein beta 6
GJB7	gap junction protein beta 7
GJC1	gap junction protein gamma 1
GJC2	gap junction protein gamma 2
GJC3	gap junction protein gamma 3
GJD2	gap junction protein delta 2
GJD2-DT	GJD2 divergent transcript
GJD3	gap junction protein delta 3
GJD4	gap junction protein delta 4
GJE1	gap junction protein epsilon 1
GK	glycerol kinase
GK-AS1	GK antisense RNA 1
GK-IT1	GK intronic transcript 1
GK2	glycerol kinase 2
GK5	glycerol kinase 5
GKAP1	G kinase anchoring protein 1
GKN1	gastrokine 1
GKN2	gastrokine 2
GLA	galactosidase alpha
GLB1	galactosidase beta 1
GLB1L	galactosidase beta 1 like
GLB1L2	galactosidase beta 1 like 2
GLB1L3	galactosidase beta 1 like 3
GLCCI1	glucocorticoid induced 1
GLCCI1-DT	GLCCI1 divergent transcript
GLCE	glucuronic acid epimerase
GLDC	glycine decarboxylase
GLDN	gliomedin
GLE1	GLE1 RNA export mediator
GLG1	golgi glycoprotein 1
GLI1	GLI family zinc finger 1
GLI2	GLI family zinc finger 2
GLI3	GLI family zinc finger 3
GLI4	GLI family zinc finger 4
GLIDR	glioblastoma down-regulated RNA
GLIPR1	GLI pathogenesis related 1
GLIPR1L1	GLIPR1 like 1
GLIPR1L2	GLIPR1 like 2
GLIPR2	GLI pathogenesis related 2
GLIS1	GLIS family zinc finger 1
GLIS2	GLIS family zinc finger 2
GLIS2-AS1	GLIS2 antisense RNA 1
GLIS3	GLIS family zinc finger 3
GLIS3-AS1	GLIS3 antisense RNA 1
GLIS3-AS2	GLIS3 antisense RNA 2
GLMN	glomulin, FKBP associated protein
GLMP	glycosylated lysosomal membrane protein
GLO1	glyoxalase I
GLOD4	glyoxalase domain containing 4
GLOD5	glyoxalase domain containing 5
GLP1R	glucagon like peptide 1 receptor
GLP2R	glucagon like peptide 2 receptor
GLRA1	glycine receptor alpha 1
GLRA2	glycine receptor alpha 2
GLRA3	glycine receptor alpha 3
GLRB	glycine receptor beta
GLRX	glutaredoxin
GLRX2	glutaredoxin 2
GLRX3	glutaredoxin 3
GLRX5	glutaredoxin 5
GLS	glutaminase
GLS2	glutaminase 2
GLT1D1	glycosyltransferase 1 domain containing 1
GLT6D1	glycosyltransferase 6 domain containing 1
GLT8D1	glycosyltransferase 8 domain containing 1
GLT8D2	glycosyltransferase 8 domain containing 2
GLTP	glycolipid transfer protein
GLTPD2	glycolipid transfer protein domain containing 2
GLUD1	glutamate dehydrogenase 1
GLUD2	glutamate dehydrogenase 2
GLUL	glutamate-ammonia ligase
GLYAT	glycine-N-acyltransferase
GLYATL1	glycine-N-acyltransferase like 1
GLYATL1B	glycine-N-acyltransferase like 1B
GLYATL2	glycine-N-acyltransferase like 2
GLYATL3	glycine-N-acyltransferase like 3
GLYCTK	glycerate kinase
GLYCTK-AS1	GLYCTK antisense RNA 1
GLYR1	glyoxylate reductase 1 homolog
GM2A	GM2 ganglioside activator
GMCL1	germ cell-less 1, spermatogenesis associated
GMCL2	germ cell-less 2, spermatogenesis associated
GMDS	GDP-mannose 4,6-dehydratase
GMDS-DT	GMDS divergent transcript
GMEB1	glucocorticoid modulatory element binding protein 1
GMEB2	glucocorticoid modulatory element binding protein 2
GMFB	glia maturation factor beta
GMFG	glia maturation factor gamma
GMIP	GEM interacting protein
GML	glycosylphosphatidylinositol anchored molecule like
GMNC	geminin coiled-coil domain containing
GMNN	geminin DNA replication inhibitor
GMPPA	GDP-mannose pyrophosphorylase A
GMPPB	GDP-mannose pyrophosphorylase B
GMPR	guanosine monophosphate reductase
GMPR2	guanosine monophosphate reductase 2
GMPS	guanine monophosphate synthase
GNA11	G protein subunit alpha 11
GNA12	G protein subunit alpha 12
GNA13	G protein subunit alpha 13
GNA14	G protein subunit alpha 14
GNA14-AS1	GNA14 antisense RNA 1
GNA15	G protein subunit alpha 15
GNA15-DT	GNA15 divergent transcript
GNAI1	G protein subunit alpha i1
GNAI2	G protein subunit alpha i2
GNAI3	G protein subunit alpha i3
GNAL	G protein subunit alpha L
GNAO1	G protein subunit alpha o1
GNAO1-AS1	GNAO1 antisense RNA 1
GNAO1-DT	GNAO1 divergent transcript
GNAQ	G protein subunit alpha q
GNAS	GNAS complex locus
GNAS-AS1	GNAS antisense RNA 1
GNAT1	G protein subunit alpha transducin 1
GNAT2	G protein subunit alpha transducin 2
GNAT3	G protein subunit alpha transducin 3
GNAZ	G protein subunit alpha z
GNB1	G protein subunit beta 1
GNB1-DT	GNB1 divergent transcript
GNB1L	G protein subunit beta 1 like
GNB2	G protein subunit beta 2
GNB3	G protein subunit beta 3
GNB4	G protein subunit beta 4
GNB5	G protein subunit beta 5
GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
GNG2	G protein subunit gamma 2
GNG3	G protein subunit gamma 3
GNG4	G protein subunit gamma 4
GNG5	G protein subunit gamma 5
GNG7	G protein subunit gamma 7
GNG8	G protein subunit gamma 8
GNG10	G protein subunit gamma 10
GNG11	G protein subunit gamma 11
GNG12	G protein subunit gamma 12
GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1
GNG13	G protein subunit gamma 13
GNG14	G protein subunit gamma 14
GNGT1	G protein subunit gamma transducin 1
GNGT2	G protein subunit gamma transducin 2
GNL1	G protein nucleolar 1 (putative)
GNL2	G protein nucleolar 2
GNL3	G protein nucleolar 3
GNL3L	G protein nucleolar 3 like
GNLY	granulysin
GNMT	glycine N-methyltransferase
GNPAT	glyceronephosphate O-acyltransferase
GNPDA1	glucosamine-6-phosphate deaminase 1
GNPDA2	glucosamine-6-phosphate deaminase 2
GNPNAT1	glucosamine-phosphate N-acetyltransferase 1
GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma
GNRH1	gonadotropin releasing hormone 1
GNRH2	gonadotropin releasing hormone 2
GNRHR	gonadotropin releasing hormone receptor
GNS	glucosamine (N-acetyl)-6-sulfatase
GOLGA1	golgin A1
GOLGA2	golgin A2
GOLGA3	golgin A3
GOLGA4	golgin A4
GOLGA4-AS1	GOLGA4 antisense RNA 1
GOLGA5	golgin A5
GOLGA6A	golgin A6 family member A
GOLGA6B	golgin A6 family member B
GOLGA6C	golgin A6 family member C
GOLGA6D	golgin A6 family member D
GOLGA6L1	golgin A6 family like 1
GOLGA6L2	golgin A6 family like 2
GOLGA6L4	golgin A6 family like 4
GOLGA6L6	golgin A6 family like 6
GOLGA6L7	golgin A6 family like 7
GOLGA6L9	golgin A6 family like 9
GOLGA6L10	golgin A6 family like 10
GOLGA6L19	golgin A6 family like 19
GOLGA6L22	golgin A6 family like 22
GOLGA7	golgin A7
GOLGA7B	golgin A7 family member B
GOLGA7B-DT	GOLGA7B divergent transcript
GOLGA8A	golgin A8 family member A
GOLGA8B	golgin A8 family member B
GOLGA8F	golgin A8 family member F
GOLGA8G	golgin A8 family member G
GOLGA8H	golgin A8 family member H
GOLGA8J	golgin A8 family member J
GOLGA8K	golgin A8 family member K
GOLGA8M	golgin A8 family member M
GOLGA8N	golgin A8 family member N
GOLGA8O	golgin A8 family member O
GOLGA8Q	golgin A8 family member Q
GOLGA8R	golgin A8 family member R
GOLGA8S	golgin A8 family member S
GOLGA8T	golgin A8 family member T
GOLGB1	golgin B1
GOLIM4	golgi integral membrane protein 4
GOLM1	golgi membrane protein 1
GOLM2	golgi membrane protein 2
GOLPH3	golgi phosphoprotein 3
GOLPH3-DT	GOLPH3 divergent transcript
GOLPH3L	golgi phosphoprotein 3 like
GOLT1A	golgi transport 1A
GOLT1B	golgi transport 1B
GON4L	gon-4 like
GON7	GON7 subunit of KEOPS complex
GOPC	golgi associated PDZ and coiled-coil motif containing
GORAB	golgin, RAB6 interacting
GORAB-AS1	GORAB antisense RNA 1
GORASP1	golgi reassembly stacking protein 1
GORASP2	golgi reassembly stacking protein 2
GOSR1	golgi SNAP receptor complex member 1
GOSR2	golgi SNAP receptor complex member 2
GOSR2-DT	GOSR2 divergent transcript
GOT1	glutamic-oxaloacetic transaminase 1
GOT1-DT	GOT1 divergent transcript
GOT1L1	glutamic-oxaloacetic transaminase 1 like 1
GOT2	glutamic-oxaloacetic transaminase 2
GP1BA	glycoprotein Ib platelet subunit alpha
GP1BB	glycoprotein Ib platelet subunit beta
GP2	glycoprotein 2
GP5	glycoprotein V platelet
GP6	glycoprotein VI platelet
GP6-AS1	GP6 antisense RNA 1
GP9	glycoprotein IX platelet
GPA33	glycoprotein A33
GPAA1	glycosylphosphatidylinositol anchor attachment 1
GPALPP1	GPALPP motifs containing 1
GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
GPANK1	G-patch domain and ankyrin repeats 1
GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial
GPAT3	glycerol-3-phosphate acyltransferase 3
GPAT4	glycerol-3-phosphate acyltransferase 4
GPAT4-AS1	GPAT4 and GINS4 antisense RNA 1
GPATCH1	G-patch domain containing 1
GPATCH2	G-patch domain containing 2
GPATCH2L	G-patch domain containing 2 like
GPATCH3	G-patch domain containing 3
GPATCH4	G-patch domain containing 4
GPATCH8	G-patch domain containing 8
GPATCH11	G-patch domain containing 11
GPB	glycerol phosphatase, beta-
GPBAR1	G protein-coupled bile acid receptor 1
GPBP1	GC-rich promoter binding protein 1
GPBP1L1	GC-rich promoter binding protein 1 like 1
GPC1	glypican 1
GPC2	glypican 2
GPC3	glypican 3
GPC3-AS1	GPC3 antisense RNA 1
GPC4	glypican 4
GPC5	glypican 5
GPC5-AS1	GPC5 antisense RNA 1
GPC5-AS2	GPC5 antisense RNA 2
GPC5-IT1	GPC5 intronic transcript 1
GPC6	glypican 6
GPC6-AS1	GPC6 antisense RNA 1
GPC6-AS2	GPC6 antisense RNA 2
GPCPD1	glycerophosphocholine phosphodiesterase 1
GPD1	glycerol-3-phosphate dehydrogenase 1
GPD1L	glycerol-3-phosphate dehydrogenase 1 like
GPD2	glycerol-3-phosphate dehydrogenase 2
GPER1	G protein-coupled estrogen receptor 1
GPHA2	glycoprotein hormone subunit alpha 2
GPHB5	glycoprotein hormone subunit beta 5
GPHN	gephyrin
GPI	glucose-6-phosphate isomerase
GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
GPKOW	G-patch domain and KOW motifs
GPLD1	glycosylphosphatidylinositol specific phospholipase D1
GPM6A	glycoprotein M6A
GPM6A-DT	GPM6A divergent transcript
GPM6B	glycoprotein M6B
GPN1	GPN-loop GTPase 1
GPN2	GPN-loop GTPase 2
GPN3	GPN-loop GTPase 3
GPNMB	glycoprotein nmb
GPR1-AS	GPR1 antisense RNA
GPR3	G protein-coupled receptor 3
GPR4	G protein-coupled receptor 4
GPR6	G protein-coupled receptor 6
GPR12	G protein-coupled receptor 12
GPR15	G protein-coupled receptor 15
GPR17	G protein-coupled receptor 17
GPR18	G protein-coupled receptor 18
GPR19	G protein-coupled receptor 19
GPR20	G protein-coupled receptor 20
GPR21	G protein-coupled receptor 21
GPR22	G protein-coupled receptor 22
GPR25	G protein-coupled receptor 25
GPR26	G protein-coupled receptor 26
GPR27	G protein-coupled receptor 27
GPR31	G protein-coupled receptor 31
GPR32	G protein-coupled receptor 32
GPR33	G protein-coupled receptor 33
GPR34	G protein-coupled receptor 34
GPR35	G protein-coupled receptor 35
GPR37	G protein-coupled receptor 37
GPR37L1	G protein-coupled receptor 37 like 1
GPR39	G protein-coupled receptor 39
GPR42	G protein-coupled receptor 42
GPR45	G protein-coupled receptor 45
GPR50	G protein-coupled receptor 50
GPR50-AS1	GPR50 antisense RNA 1
GPR52	G protein-coupled receptor 52
GPR55	G protein-coupled receptor 55
GPR61	G protein-coupled receptor 61
GPR62	G protein-coupled receptor 62
GPR63	G protein-coupled receptor 63
GPR65	G protein-coupled receptor 65
GPR68	G protein-coupled receptor 68
GPR75	G protein-coupled receptor 75
GPR78	G protein-coupled receptor 78
GPR82	G protein-coupled receptor 82
GPR83	G protein-coupled receptor 83
GPR84	G protein-coupled receptor 84
GPR85	G protein-coupled receptor 85
GPR87	G protein-coupled receptor 87
GPR88	G protein-coupled receptor 88
GPR89A	G protein-coupled receptor 89A
GPR89B	G protein-coupled receptor 89B
GPR101	G protein-coupled receptor 101
GPR107	G protein-coupled receptor 107
GPR108	G protein-coupled receptor 108
GPR119	G protein-coupled receptor 119
GPR130	G protein-coupled receptor 130
GPR132	G protein-coupled receptor 132
GPR135	G protein-coupled receptor 135
GPR137	G protein-coupled receptor 137
GPR137B	G protein-coupled receptor 137B
GPR137C	G protein-coupled receptor 137C
GPR139	G protein-coupled receptor 139
GPR141	G protein-coupled receptor 141
GPR142	G protein-coupled receptor 142
GPR143	G protein-coupled receptor 143
GPR146	G protein-coupled receptor 146
GPR148	G protein-coupled receptor 148
GPR149	G protein-coupled receptor 149
GPR150	G protein-coupled receptor 150
GPR151	G protein-coupled receptor 151
GPR152	G protein-coupled receptor 152
GPR153	G protein-coupled receptor 153
GPR155	G protein-coupled receptor 155
